epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,209.488,1.22095,0.40869,1,1.77292,0.00332787,0.00332787,0.00332787
2,411.301,0.96451,0.7124,1,0.65839,0.00659526,0.00659526,0.00659526
3,613.163,0.85859,0.69322,1,0.75532,0.00979664,0.00979664,0.00979664
4,815.597,0.75283,0.84159,1,0.45669,0.009703,0.009703,0.009703
5,1017.36,0.63872,0.87101,1,0.31576,0.009604,0.009604,0.009604
6,1219.54,0.5902,0.89716,1,0.28233,0.009505,0.009505,0.009505
7,1424.19,0.56121,0.86958,1,0.33778,0.009406,0.009406,0.009406
8,1623.38,0.50926,0.90495,1,0.26318,0.009307,0.009307,0.009307
9,1828.29,0.49388,0.91633,1,0.23746,0.009208,0.009208,0.009208
10,2031.99,0.44969,0.91879,1,0.20653,0.009109,0.009109,0.009109
11,2233.91,0.44002,0.92392,1,0.21391,0.00901,0.00901,0.00901
12,2442.43,0.41313,0.93376,1,0.19814,0.008911,0.008911,0.008911
13,2644.47,0.39746,0.93766,1,0.17552,0.008812,0.008812,0.008812
14,2847.1,0.3818,0.95119,1,0.14563,0.008713,0.008713,0.008713
15,3050.43,0.37451,0.94248,1,0.16293,0.008614,0.008614,0.008614
16,3253.87,0.36817,0.93961,1,0.16598,0.008515,0.008515,0.008515
17,3454.45,0.35076,0.9514,1,0.13493,0.008416,0.008416,0.008416
18,3652.78,0.35139,0.94986,1,0.13326,0.008317,0.008317,0.008317
19,3865.15,0.33767,0.95612,1,0.12644,0.008218,0.008218,0.008218
20,4072.05,0.32503,0.94935,1,0.14874,0.008119,0.008119,0.008119
21,4277.39,0.32802,0.95058,1,0.13751,0.00802,0.00802,0.00802
22,4502.39,0.31362,0.95232,1,0.14131,0.007921,0.007921,0.007921
23,4708.89,0.29916,0.96452,1,0.10419,0.007822,0.007822,0.007822
24,4915.61,0.29914,0.96493,1,0.10137,0.007723,0.007723,0.007723
25,5117.08,0.2922,0.96565,1,0.09966,0.007624,0.007624,0.007624
26,5324.63,0.29781,0.96688,1,0.09723,0.007525,0.007525,0.007525
27,5530.62,0.30078,0.9596,1,0.12718,0.007426,0.007426,0.007426
28,5752.51,0.28751,0.96904,1,0.09712,0.007327,0.007327,0.007327
29,5960.24,0.2666,0.96904,1,0.09204,0.007228,0.007228,0.007228
30,6169.36,0.26578,0.97109,1,0.09142,0.007129,0.007129,0.007129
31,6379,0.27886,0.96739,1,0.09278,0.00703,0.00703,0.00703
32,6583.51,0.25941,0.97098,1,0.08637,0.006931,0.006931,0.006931
33,6788.34,0.26393,0.97314,1,0.08089,0.006832,0.006832,0.006832
34,6987.09,0.24958,0.97314,1,0.08045,0.006733,0.006733,0.006733
35,7196.35,0.26128,0.97488,1,0.07336,0.006634,0.006634,0.006634
36,7406.84,0.23913,0.97129,1,0.08093,0.006535,0.006535,0.006535
37,7613.25,0.24688,0.97375,1,0.07592,0.006436,0.006436,0.006436
38,7815.3,0.22571,0.97714,1,0.06423,0.006337,0.006337,0.006337
39,8027.6,0.24235,0.97529,1,0.0715,0.006238,0.006238,0.006238
40,8232.25,0.23887,0.97744,1,0.0711,0.006139,0.006139,0.006139
41,8438.27,0.22302,0.97857,1,0.06249,0.00604,0.00604,0.00604
42,8637.39,0.23606,0.97785,1,0.06494,0.005941,0.005941,0.005941
43,8834.58,0.21957,0.97919,1,0.06068,0.005842,0.005842,0.005842
44,9033.11,0.22503,0.97857,1,0.06394,0.005743,0.005743,0.005743
45,9246.43,0.21114,0.97662,1,0.0678,0.005644,0.005644,0.005644
46,9451.86,0.22474,0.98062,1,0.05938,0.005545,0.005545,0.005545
47,9666.45,0.20945,0.98175,1,0.05864,0.005446,0.005446,0.005446
48,9881.38,0.20787,0.98298,1,0.05435,0.005347,0.005347,0.005347
49,10094.6,0.20402,0.98247,1,0.05543,0.005248,0.005248,0.005248
50,10315.6,0.21552,0.98216,1,0.05349,0.005149,0.005149,0.005149
51,10533.1,0.19572,0.98154,1,0.05364,0.00505,0.00505,0.00505
52,10753.2,0.19526,0.98339,1,0.05152,0.004951,0.004951,0.004951
53,10973.8,0.20726,0.98298,1,0.05134,0.004852,0.004852,0.004852
54,11182.4,0.19147,0.98359,1,0.05037,0.004753,0.004753,0.004753
55,11384.2,0.20496,0.98472,1,0.05092,0.004654,0.004654,0.004654
56,11585.4,0.19457,0.98524,1,0.04628,0.004555,0.004555,0.004555
57,11792.5,0.18939,0.98585,1,0.04622,0.004456,0.004456,0.004456
58,12011.7,0.19294,0.98565,1,0.04633,0.004357,0.004357,0.004357
59,12228.8,0.18068,0.9838,1,0.04795,0.004258,0.004258,0.004258
60,12448.7,0.17793,0.98524,1,0.04451,0.004159,0.004159,0.004159
61,12671.9,0.18699,0.98688,1,0.04381,0.00406,0.00406,0.00406
62,12874.2,0.18138,0.98677,1,0.04503,0.003961,0.003961,0.003961
63,13740.1,0.17624,0.98616,1,0.04487,0.003862,0.003862,0.003862
64,28007.1,0.17345,0.98647,1,0.04206,0.003763,0.003763,0.003763
65,28207.5,0.17389,0.98677,1,0.04029,0.003664,0.003664,0.003664
66,28404.4,0.17451,0.98657,1,0.04061,0.003565,0.003565,0.003565
67,28602.4,0.17742,0.98647,1,0.04104,0.003466,0.003466,0.003466
